angle_deg,node,VONMISES
0.000000,10306,8.337287807324e+00
0.000006,10305,1.170325579015e+01
16.306511,35966,3.900246352177e+00
22.393308,15201,1.049963040680e+01
22.683299,15203,1.646839667176e+01
44.762641,15136,2.095180243823e+01
44.999975,10722,7.847077449624e+00
44.999975,10773,7.149858463317e+00
45.001117,15137,2.244603532139e+01
45.237636,15138,2.394166691061e+01
90.000000,10725,3.197882925462e+01
90.000000,10770,1.014344121628e+01
90.000000,15151,2.221792671414e+01
134.754183,15155,2.039455824640e+01
134.998895,15154,2.169541286137e+01
135.000000,10728,1.505001806921e+01
135.000000,10767,1.506780186185e+00
135.245629,15153,2.307100882575e+01
141.622074,25065,1.238199882344e+01
157.316920,15234,9.156854503396e+00
157.607002,15232,7.727561681974e+00
179.999989,15167,7.965348108422e+00
179.999991,15168,5.585877430369e+00
179.999994,15169,3.627427894988e+00
180.000000,10731,1.788998404523e+00
180.000000,7663,1.242849205176e+00
202.392866,15235,8.359310081432e+00
202.682987,15237,8.849452894349e+00
224.754495,15170,2.281648058090e+01
225.000000,10698,7.545142177528e+00
225.000000,10734,4.876614366775e+00
225.001105,15171,2.187269287057e+01
225.245817,15172,2.105888265389e+01
270.000000,10695,1.092495529564e+01
270.000000,10737,3.205419294307e+01
270.000000,15185,2.194418225035e+01
314.754393,15189,2.675393144518e+01
314.998883,15188,2.537841621632e+01
315.000025,10692,5.394920789330e+00
315.000025,10740,1.369865747947e+01
315.245483,15187,2.418531929545e+01
337.316668,15268,1.552915246162e+01
337.606595,15266,1.069279987973e+01
343.693489,35969,4.608536014204e+00
359.999994,10307,5.229945366469e+00
360.000000,10713,2.437807496181e+00
360.000000,7666,3.126844546699e+00
360.000000,7669,2.957854417831e+00
