angle_deg,node,SXX
0.000000,10306,-1.475610000000e+00
0.000006,10305,-2.111380000000e+00
16.306511,35966,-2.736400000000e+00
22.393308,15201,1.835340000000e-01
22.683299,15203,-1.018520000000e+00
44.762641,15136,-3.075140000000e+00
44.999975,10722,-1.814890000000e+00
44.999975,10773,-1.342390000000e+00
45.001117,15137,-2.986140000000e+00
45.237636,15138,-2.879020000000e+00
90.000000,10725,7.702030000000e-01
90.000000,10770,6.993430000000e-01
90.000000,15151,-3.518130000000e-01
134.754183,15155,-1.350880000000e+00
134.998895,15154,-2.115560000000e+00
135.000000,10728,1.086050000000e-01
135.000000,10767,2.782130000000e-01
135.245629,15153,-2.830150000000e+00
141.622074,25065,8.068790000000e-01
157.316920,15234,1.433680000000e+00
157.607002,15232,1.358910000000e+00
179.999989,15167,-3.530510000000e-01
179.999991,15168,-7.128570000000e-01
179.999994,15169,-1.054200000000e+00
180.000000,10731,-7.423700000000e-01
180.000000,7663,-4.876890000000e-01
202.392866,15235,6.842710000000e-01
202.682987,15237,1.900600000000e+00
224.754495,15170,-4.492880000000e+00
225.000000,10698,1.803480000000e-01
225.000000,10734,-4.024130000000e-01
225.001105,15171,-2.673250000000e+00
225.245817,15172,-8.221850000000e-01
270.000000,10695,9.127900000000e-01
270.000000,10737,7.297830000000e-01
270.000000,15185,6.227750000000e-01
314.754393,15189,-2.898530000000e+00
314.998883,15188,-2.533260000000e+00
315.000025,10692,-7.339800000000e-01
315.000025,10740,-1.169300000000e+00
315.245483,15187,-2.110830000000e+00
337.316668,15268,4.204020000000e-01
337.606595,15266,1.347500000000e+00
343.693489,35969,-3.187240000000e+00
359.999994,10307,-8.178270000000e-01
360.000000,10713,1.894720000000e+00
360.000000,7666,-3.386270000000e+00
360.000000,7669,-2.011250000000e+00
