angle_deg,node,PMAX
0.000000,10306,7.939952942388e+00
0.000006,10305,1.072044342750e+01
16.306511,35966,1.302885782183e+00
22.393308,15201,7.553772163622e+00
22.683299,15203,5.022676254566e+00
44.762641,15136,3.024131930879e+00
44.999975,10722,-5.245498710296e-02
44.999975,10773,-9.884996774435e-01
45.001117,15137,4.078665641674e+00
45.237636,15138,5.167095133106e+00
90.000000,10725,1.107340361848e+00
90.000000,10770,1.586524330033e+00
90.000000,15151,1.946103764600e-01
134.754183,15155,8.523059688579e+00
134.998895,15154,7.776277685599e+00
135.000000,10728,3.071058449561e+00
135.000000,10767,7.478815362623e-01
135.245629,15153,7.162704994735e+00
141.622074,25065,8.389704734561e-01
157.316920,15234,4.546737524258e+00
157.607002,15232,5.765506368079e+00
179.999989,15167,8.031256076511e+00
179.999991,15168,5.108361144567e+00
179.999994,15169,3.121456080986e+00
180.000000,10731,1.197431328116e+00
180.000000,7663,7.458467893746e-01
202.392866,15235,4.838786457080e+00
202.682987,15237,5.013459338827e+00
224.754495,15170,4.691935890661e+00
225.000000,10698,2.721120118251e+00
225.000000,10734,7.422124229518e-01
225.001105,15171,7.338458303153e+00
225.245817,15172,1.010722333336e+01
270.000000,10695,1.750858361456e+00
270.000000,10737,1.074749804217e+00
270.000000,15185,1.291553349435e+00
314.754393,15189,7.771820950016e+00
314.998883,15188,7.527099331980e+00
315.000025,10692,2.477999287579e-01
315.000025,10740,-3.099421098909e-01
315.245483,15187,7.450952665111e+00
337.316668,15268,6.646242442414e+00
337.606595,15266,9.265859831757e+00
343.693489,35969,1.859439377394e+00
359.999994,10307,5.198346179616e+00
360.000000,10713,2.066005191473e+00
360.000000,7666,-5.871346425823e-01
360.000000,7669,-9.206907835385e-02
