angle_deg,node,SYZ
0.000000,10306,-2.202790000000e-01
0.000006,10305,-2.002080000000e-01
16.306511,35966,-9.930440000000e-01
22.393308,15201,2.574370000000e+00
22.683299,15203,5.391250000000e+00
44.762641,15136,3.818290000000e+00
44.999975,10722,3.411160000000e+00
44.999975,10773,3.598880000000e+00
45.001117,15137,3.853540000000e+00
45.237636,15138,3.865470000000e+00
90.000000,10725,1.858540000000e+00
90.000000,10770,2.511040000000e-01
90.000000,15151,3.194840000000e-01
134.754183,15155,-3.326300000000e+00
134.998895,15154,-3.370000000000e+00
135.000000,10728,-7.724360000000e+00
135.000000,10767,-5.749550000000e-01
135.245629,15153,-3.398010000000e+00
141.622074,25065,9.972790000000e-03
157.316920,15234,-1.811710000000e+00
157.607002,15232,-6.948400000000e-01
179.999989,15167,9.565170000000e-02
179.999991,15168,1.429410000000e-02
179.999994,15169,-6.708270000000e-02
180.000000,10731,1.524480000000e-01
180.000000,7663,-6.934990000000e-02
202.392866,15235,1.196890000000e+00
202.682987,15237,2.284290000000e+00
224.754495,15170,2.950330000000e+00
225.000000,10698,3.965380000000e+00
225.000000,10734,1.971600000000e+00
225.001105,15171,3.341350000000e+00
225.245817,15172,3.718010000000e+00
270.000000,10695,4.809370000000e-01
270.000000,10737,2.323880000000e+00
270.000000,15185,-4.961220000000e-01
314.754393,15189,-4.712270000000e+00
314.998883,15188,-5.528800000000e+00
315.000025,10692,-2.545960000000e+00
315.000025,10740,-6.750840000000e+00
315.245483,15187,-6.338080000000e+00
337.316668,15268,-4.222280000000e+00
337.606595,15266,-1.829480000000e+00
343.693489,35969,1.009850000000e+00
359.999994,10307,-2.416620000000e-01
360.000000,10713,1.151990000000e-01
360.000000,7666,2.041270000000e-01
360.000000,7669,-8.410490000000e-03
