angle_deg,node,MAXSHEAR
0.000000,10306,4.712781983521e+00
0.000006,10305,6.419511372216e+00
16.306511,35966,2.242227403630e+00
22.393308,15201,6.026798633435e+00
22.683299,15203,9.303834389587e+00
44.762641,15136,1.171825896914e+01
44.999975,10722,4.071836413563e+00
44.999975,10773,3.686360960086e+00
45.001117,15137,1.260700753163e+01
45.237636,15138,1.349855352128e+01
90.000000,10725,1.610082495880e+01
90.000000,10770,5.395678388296e+00
90.000000,15151,1.248256373582e+01
134.754183,15155,1.172641592100e+01
134.998895,15154,1.244199524454e+01
135.000000,10728,8.225412454058e+00
135.000000,10767,8.159134568828e-01
135.245629,15153,1.319904334043e+01
141.622074,25065,6.324289450849e+00
157.316920,15234,5.140040274892e+00
157.607002,15232,4.460053313039e+00
179.999989,15167,4.193126626388e+00
179.999991,15168,2.910772049637e+00
179.999994,15169,2.091386356154e+00
180.000000,10731,1.011902923614e+00
180.000000,7663,7.006521284907e-01
202.392866,15235,4.807609827663e+00
202.682987,15237,4.985696924917e+00
224.754495,15170,1.304915521373e+01
225.000000,10698,4.244283505866e+00
225.000000,10734,2.478725793926e+00
225.001105,15171,1.257456645046e+01
225.245817,15172,1.214903474035e+01
270.000000,10695,5.771423953051e+00
270.000000,10737,1.613324089368e+01
270.000000,15185,1.245350682929e+01
314.754393,15189,1.522972119189e+01
314.998883,15188,1.444200826440e+01
315.000025,10692,2.924350907380e+00
315.000025,10740,6.983303859487e+00
315.245483,15187,1.376032208901e+01
337.316668,15268,8.824844824852e+00
337.606595,15266,6.106864066611e+00
343.693489,35969,2.652994076376e+00
359.999994,10307,3.015846997857e+00
360.000000,10713,1.293197874451e+00
360.000000,7666,1.737922102158e+00
360.000000,7669,1.629149974027e+00
