angle_deg,node,PMIN
0.000000,10306,-1.485611024654e+00
0.000006,10305,-2.118579316933e+00
16.306511,35966,-3.181569025077e+00
22.393308,15201,-4.499825103248e+00
22.683299,15203,-1.358499252461e+01
44.762641,15136,-2.041238600741e+01
44.999975,10722,-8.196127814228e+00
44.999975,10773,-8.361221597615e+00
45.001117,15137,-2.113534942159e+01
45.237636,15138,-2.183001190945e+01
90.000000,10725,-3.109430955575e+01
90.000000,10770,-9.204832446558e+00
90.000000,15151,-2.477051709518e+01
134.754183,15155,-1.492977215343e+01
134.998895,15154,-1.710771280347e+01
135.000000,10728,-1.337976645856e+01
135.000000,10767,-8.839453775033e-01
135.245629,15153,-1.923538168612e+01
141.622074,25065,-1.180960842824e+01
157.316920,15234,-5.733343025526e+00
157.607002,15232,-3.154600257998e+00
179.999989,15167,-3.549971762651e-01
179.999991,15168,-7.131829547075e-01
179.999994,15169,-1.061316631323e+00
180.000000,10731,-8.263745191133e-01
180.000000,7663,-6.554574676067e-01
202.392866,15235,-4.776433198246e+00
202.682987,15237,-4.957934511007e+00
224.754495,15170,-2.140637453680e+01
225.000000,10698,-5.767446893480e+00
225.000000,10734,-4.215239164899e+00
225.001105,15171,-1.781067459776e+01
225.245817,15172,-1.419084614734e+01
270.000000,10695,-9.791989544646e+00
270.000000,10737,-3.119173198314e+01
270.000000,15185,-2.361546030915e+01
314.754393,15189,-2.268762143377e+01
314.998883,15188,-2.135691719683e+01
315.000025,10692,-5.600901886003e+00
315.000025,10740,-1.427654982886e+01
315.245483,15187,-2.006969151292e+01
337.316668,15268,-1.100344720729e+01
337.606595,15266,-2.947868301465e+00
343.693489,35969,-3.446548775358e+00
359.999994,10307,-8.333478160988e-01
360.000000,10713,-5.203905574294e-01
360.000000,7666,-4.062978846899e+00
360.000000,7669,-3.350369026409e+00
