angle_deg,node,SZX
0.000000,10306,-1.322990000000e-01
0.000006,10305,-1.628450000000e-01
16.306511,35966,1.362540000000e-01
22.393308,15201,1.414400000000e-01
22.683299,15203,-3.431180000000e-01
44.762641,15136,1.210700000000e+00
44.999975,10722,-2.756160000000e+00
44.999975,10773,-1.073910000000e-01
45.001117,15137,1.185380000000e+00
45.237636,15138,1.183630000000e+00
90.000000,10725,2.291940000000e-01
90.000000,10770,7.927710000000e-01
90.000000,15151,-1.871900000000e+00
134.754183,15155,-7.928150000000e-01
134.998895,15154,-4.694170000000e-01
135.000000,10728,-2.665500000000e-01
135.000000,10767,5.733970000000e-01
135.245629,15153,-1.450890000000e-01
141.622074,25065,1.151270000000e-01
157.316920,15234,-2.970940000000e-01
157.607002,15232,8.134240000000e-02
179.999989,15167,8.302120000000e-03
179.999991,15168,-7.841680000000e-03
179.999994,15169,-2.589950000000e-02
180.000000,10731,-6.758850000000e-02
180.000000,7663,1.564700000000e-01
202.392866,15235,4.441530000000e-02
202.682987,15237,3.973830000000e-01
224.754495,15170,-1.938690000000e+00
225.000000,10698,3.522060000000e-01
225.000000,10734,1.631240000000e+00
225.001105,15171,-1.710820000000e+00
225.245817,15172,-1.480760000000e+00
270.000000,10695,-6.366950000000e-01
270.000000,10737,-1.190500000000e-01
270.000000,15185,2.200130000000e+00
314.754393,15189,1.526040000000e+00
314.998883,15188,1.536270000000e+00
315.000025,10692,-2.553700000000e-01
315.000025,10740,1.860130000000e+00
315.245483,15187,1.501160000000e+00
337.316668,15268,6.122150000000e-01
337.606595,15266,1.153880000000e-01
343.693489,35969,-2.240330000000e-01
359.999994,10307,-9.824670000000e-02
360.000000,10713,-1.584350000000e-01
360.000000,7666,3.225730000000e-01
360.000000,7669,-3.100670000000e-01
