angle_deg,node,SZZ
0.000000,10306,8.305300000000e+00
0.000006,10305,1.158740000000e+01
16.306511,35966,5.187350000000e-01
22.393308,15201,9.202080000000e+00
22.683299,15203,4.112490000000e+00
44.762641,15136,2.070410000000e+00
44.999975,10722,-4.248590000000e+00
44.999975,10773,-5.857330000000e+00
45.001117,15137,3.043750000000e+00
45.237636,15138,4.025630000000e+00
90.000000,10725,1.580010000000e+00
90.000000,10770,1.341340000000e+00
90.000000,15151,-6.092840000000e+00
134.754183,15155,6.583340000000e+00
134.998895,15154,6.861350000000e+00
135.000000,10728,-6.347560000000e+00
135.000000,10767,-2.931580000000e-01
135.245629,15153,7.246970000000e+00
141.622074,25065,2.927990000000e-01
157.316920,15234,4.719240000000e+00
157.607002,15232,8.222940000000e+00
179.999989,15167,8.104220000000e+00
179.999991,15168,5.580380000000e+00
179.999994,15169,3.085850000000e+00
180.000000,10731,1.331820000000e+00
180.000000,7663,5.771510000000e-01
202.392866,15235,7.031370000000e+00
202.682987,15237,5.077010000000e+00
224.754495,15170,3.239750000000e+00
225.000000,10698,-4.014380000000e+00
225.000000,10734,-1.553650000000e+00
225.001105,15171,5.462420000000e+00
225.245817,15172,7.754380000000e+00
270.000000,10695,1.660270000000e+00
270.000000,10737,1.321170000000e+00
270.000000,15185,-5.872920000000e+00
314.754393,15189,6.277930000000e+00
314.998883,15188,5.314580000000e+00
315.000025,10692,-3.385190000000e+00
315.000025,10740,-7.364820000000e+00
315.245483,15187,4.419580000000e+00
337.316668,15268,6.277290000000e+00
337.606595,15266,1.079350000000e+01
343.693489,35969,1.759670000000e+00
359.999994,10307,5.074910000000e+00
360.000000,10713,-4.795710000000e-01
360.000000,7666,-3.075270000000e+00
360.000000,7669,2.474830000000e-02
