component,min_value,min_node,min_angle_deg,max_value,max_node,max_angle_deg
SXX,-4.061310000000e+00,35969,343.693489,2.454110000000e+00,15232,157.607002
SYY,-3.620760000000e+01,10725,90.000000,8.055530000000e+00,15167,179.999989
SZZ,-7.364820000000e+00,10740,315.000025,1.158740000000e+01,10305,0.000006
SXY,-2.539010000000e+00,10728,135.000000,2.269380000000e+00,10722,44.999975
SYZ,-9.633550000000e+00,10728,135.000000,4.990160000000e+00,10698,225.000000
SZX,-2.756160000000e+00,10722,44.999975,2.200130000000e+00,15185,270.000000
VM,1.433410035532e+00,10767,135.000000,3.770030414731e+01,10725,90.000000
PMAX,-1.395189719927e+00,10773,44.999975,1.159049260595e+01,10305,0.000006
PMIN,-3.635074914725e+01,10725,90.000000,6.913960403010e-01,15232,157.607002
MAXSHEAR,7.355007495154e-01,10767,135.000000,1.907310719899e+01,10725,90.000000
