angle_deg,node,SXY
0.000000,10306,-2.772500000000e-01
0.000006,10305,-2.699950000000e-01
16.306511,35966,-1.070140000000e+00
22.393308,15201,1.071790000000e+00
22.683299,15203,1.293240000000e+00
44.762641,15136,1.012090000000e+00
44.999975,10722,2.269380000000e+00
44.999975,10773,7.142900000000e-02
45.001117,15137,1.071840000000e+00
45.237636,15138,1.061600000000e+00
90.000000,10725,3.651120000000e-01
90.000000,10770,1.243620000000e+00
90.000000,15151,3.742640000000e-01
134.754183,15155,8.299220000000e-01
134.998895,15154,7.291820000000e-01
135.000000,10728,-2.539010000000e+00
135.000000,10767,2.065320000000e-01
135.245629,15153,7.016470000000e-01
141.622074,25065,1.229020000000e-03
157.316920,15234,-1.401800000000e+00
157.607002,15232,-1.272320000000e+00
179.999989,15167,3.175510000000e-01
179.999991,15168,2.111770000000e-01
179.999994,15169,1.447370000000e-01
180.000000,10731,-5.590980000000e-01
180.000000,7663,5.844120000000e-01
202.392866,15235,-8.179020000000e-01
202.682987,15237,-8.917830000000e-01
224.754495,15170,-1.780210000000e+00
225.000000,10698,-1.748490000000e-01
225.000000,10734,-1.600170000000e+00
225.001105,15171,-1.792460000000e+00
225.245817,15172,-1.742470000000e+00
270.000000,10695,-8.407500000000e-01
270.000000,10737,-1.394470000000e-01
270.000000,15185,5.479340000000e-01
314.754393,15189,-5.903680000000e-01
314.998883,15188,-5.035270000000e-01
315.000025,10692,-1.972100000000e+00
315.000025,10740,1.435300000000e+00
315.245483,15187,-4.581260000000e-01
337.316668,15268,1.290900000000e+00
337.606595,15266,1.027360000000e+00
343.693489,35969,9.338980000000e-01
359.999994,10307,-2.424490000000e-01
360.000000,10713,4.923500000000e-01
360.000000,7666,5.862550000000e-01
360.000000,7669,-9.869560000000e-01
